,BranchID,TrainID,StationID,CarID,Month,Day,Hour,Passenger_Count
0,3,6549,116,6,9,2,7,41
1,1,8841,40,3,6,4,22,20
2,2,9650,57,7,5,6,14,10
3,1,8750,14,6,5,1,7,4
4,3,6349,128,1,11,2,8,27
5,3,6549,127,7,6,1,21,19
6,2,9650,61,6,6,5,16,31
7,3,6547,131,4,4,2,6,20
8,2,9546,68,7,6,5,1,38
9,3,6349,140,7,1,3,15,36
10,2,9647,100,7,11,5,9,33
11,2,4349,64,6,3,3,16,11
12,1,4749,43,4,3,3,13,47
13,1,8843,29,1,6,1,8,43
14,1,8748,23,1,7,6,1,31
15,1,8747,19,7,7,4,11,41
16,3,6350,106,2,8,4,3,14
17,1,8747,44,6,4,1,15,8
18,2,9647,68,1,9,2,20,42
19,2,9648,59,7,11,5,9,24
20,3,6542,108,2,1,5,10,4
21,3,6544,128,6,4,5,20,1
22,1,8847,22,2,9,1,19,6
23,1,8841,43,6,3,3,0,3
24,1,8843,22,6,5,4,8,18
25,2,4349,79,3,8,1,10,39
26,3,6349,134,7,11,2,15,14
27,1,4749,40,2,8,3,1,36
28,2,9649,72,2,11,1,16,17
29,2,9650,68,2,6,6,3,48
30,3,6548,190,4,2,3,5,35
31,2,9958,89,3,1,2,21,14
32,2,9645,78,7,10,6,18,35
33,3,6542,129,1,2,5,11,48
34,2,9552,68,3,2,2,17,7
35,2,9549,56,1,4,4,7,26
36,2,4647,98,7,5,4,20,8
37,3,6351,108,5,10,5,3,14
38,1,8852,11,1,2,5,17,46
39,2,9647,99,4,8,4,20,26
40,1,8749,27,4,4,1,2,49
41,1,8845,17,1,9,6,0,19
42,2,9553,89,3,2,5,12,11
43,3,6542,143,5,8,1,16,23
44,3,6348,151,7,9,3,11,24
45,2,9552,61,6,2,5,7,33
46,2,9549,71,1,9,1,11,28
47,2,9549,79,6,11,5,9,15
48,1,8749,10,3,8,4,3,6
49,2,9647,54,7,7,5,0,20
50,2,4647,64,6,3,6,16,39
51,2,9652,97,7,2,1,8,28
52,3,3350,143,5,4,3,17,22
53,2,9947,71,1,5,3,3,17
54,3,6546,112,5,8,2,19,17
55,2,4647,68,5,6,3,18,49
56,2,9647,98,1,7,3,1,48
57,1,8751,42,3,10,2,5,27
58,1,8745,23,2,3,6,10,10
59,3,3548,127,2,6,2,10,33
60,1,4847,31,2,11,2,15,19
61,3,6351,129,6,8,1,2,7
62,3,6542,138,5,4,1,1,20
63,2,9947,56,2,6,1,19,42
64,2,9647,176,5,1,3,8,9
65,3,6548,118,1,10,5,21,12
66,1,8845,27,3,11,1,16,45
67,3,6348,105,1,2,3,12,36
68,2,4551,56,7,4,4,15,11
69,2,9652,177,1,1,2,9,19
70,2,9548,64,7,6,6,11,49
71,3,6345,118,1,3,2,16,29
72,3,6345,143,1,6,6,21,26
73,2,9546,100,1,3,6,11,19
74,3,6551,188,2,7,6,22,19
75,3,3546,112,1,6,3,3,14
76,3,6549,136,5,7,2,15,37
77,1,8749,24,4,8,2,14,31
78,2,9654,100,3,7,6,0,18
79,2,9552,88,7,11,1,2,5
80,2,9550,55,7,11,1,2,14
81,2,4647,62,7,10,6,16,24
82,2,9546,97,7,5,3,7,13
83,1,8749,30,7,5,2,4,41
84,2,9647,55,6,5,3,0,5
85,3,6546,111,7,9,2,7,23
86,2,4551,80,1,1,1,14,14
87,1,8750,10,1,11,3,21,2
88,3,6352,140,3,10,4,1,34
89,2,9652,74,5,4,6,21,4
90,3,6547,145,5,3,3,22,37
91,3,6345,124,5,3,5,0,11
92,2,9551,100,1,8,2,17,37
93,5,6846,162,2,10,1,2,12
94,1,4749,10,2,6,2,12,25
95,3,3546,105,7,7,1,6,17
96,3,6553,112,6,11,2,22,40
97,3,6348,129,1,8,2,19,7
98,2,9649,64,2,4,1,14,22
99,3,6349,188,6,10,6,7,18
100,1,4847,17,4,4,6,18,36
101,2,9546,101,3,2,3,5,46
102,2,9549,59,2,5,4,9,8
103,1,8847,51,1,11,6,9,9
104,3,6348,131,4,10,4,4,16
105,3,6547,188,5,6,6,19,16
106,2,9947,79,3,4,5,7,6
